epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
80,13084.2,0.63579,0.49328,1.02429,0.87752,0.77863,0.87139,0.72267,0.62972,0.53283,0.97166,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,13245.4,0.63422,0.49477,1.0249,0.88951,0.76768,0.87095,0.72329,0.62969,0.53293,0.97238,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,13406,0.63001,0.49026,1.01827,0.88593,0.77277,0.87316,0.72456,0.63146,0.53107,0.97423,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,13565.9,0.6136,0.47836,1.01253,0.89057,0.77341,0.87468,0.7238,0.63138,0.52813,0.97419,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,13724.2,0.6231,0.48124,1.02038,0.87675,0.78243,0.87452,0.7248,0.62935,0.52751,0.97414,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,13884,0.63001,0.48709,1.02136,0.8732,0.78522,0.87497,0.72476,0.63012,0.52737,0.97394,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,14046.3,0.61839,0.47912,1.01468,0.87897,0.77988,0.87293,0.72388,0.6311,0.53238,0.9737,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,14205.4,0.61321,0.47034,1.01123,0.87219,0.78222,0.87359,0.72372,0.63081,0.53179,0.97396,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,14367.5,0.61621,0.47468,1.01446,0.87902,0.77878,0.87248,0.72465,0.62767,0.53026,0.97175,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,14527.7,0.61229,0.47329,1.01136,0.87337,0.78066,0.87386,0.72476,0.62719,0.53075,0.97069,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,14691.2,0.60374,0.45929,1.00407,0.86583,0.78861,0.87211,0.72394,0.62785,0.53319,0.97034,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,14851.2,0.53663,0.39244,0.94537,0.87686,0.78028,0.8719,0.72386,0.62676,0.53196,0.96945,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,15004.8,0.53027,0.38034,0.94545,0.88336,0.77262,0.87151,0.72353,0.62601,0.53166,0.96873,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,15156.2,0.51869,0.36373,0.93569,0.88407,0.77632,0.87076,0.72234,0.6255,0.53081,0.96934,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,15309.4,0.51512,0.3617,0.93722,0.88021,0.77964,0.8736,0.72335,0.62531,0.52995,0.96863,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,15461.5,0.51327,0.36559,0.93568,0.87648,0.78185,0.87154,0.72299,0.62514,0.53057,0.96887,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,15614.8,0.508,0.35743,0.93055,0.87747,0.78289,0.87162,0.72302,0.62616,0.53181,0.96967,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,15767.7,0.50688,0.35668,0.93268,0.87996,0.77931,0.87043,0.72174,0.62597,0.53183,0.96984,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,15915.9,0.50456,0.34849,0.93113,0.87852,0.78136,0.87008,0.72171,0.62656,0.53269,0.97049,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,16065.8,0.50203,0.34956,0.9327,0.87694,0.78329,0.87014,0.72132,0.62627,0.53264,0.97092,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,16224.6,0.49658,0.34468,0.92983,0.8706,0.78752,0.86961,0.72122,0.62615,0.5335,0.9714,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
